state_code,state,gender,post_code,force,area,category,category_code,vacancies,initial,current,allocated,left_vacancy,allocated_hc,allocated_hc_prev,key,min_marks_prev,min_marks_parta_prev,min_marks_partb_prev,min_marks_cand_dob_prev,min_marks,min_marks_parta,min_marks_partb,min_marks_cand_dob,min_marks_merit,total_marks,parta_gi,partb_ga,dob,merit
10,Delhi,1,B,CISF,G,UR,9,5,5,5,5,0,0,0,101BG9,119.93285,35.75,17.75,2004-07-29,130.2175,37.75,22.0,2002-01-10,9905.0,130.2175,37.75,22.0,2002-01-10,9905.0
10,Delhi,1,C,CRPF,G,SC,1,1,1,1,1,0,0,0,101CG1,121.08597,37.75,15.5,1999-07-14,128.78567,33.25,26.5,1998-02-20,11605.0,128.78567,33.25,26.5,1998-02-20,11605.0
10,Delhi,1,C,CRPF,G,OBC,6,1,1,1,1,0,0,0,101CG6,118.12458,33.25,22.0,2000-02-10,127.45344,35.5,22.0,2000-01-10,12980.0,127.45344,35.5,22.0,2000-01-10,12980.0
10,Delhi,1,C,CRPF,G,UR,9,2,2,2,2,0,0,0,101CG9,119.93285,35.75,17.75,2004-07-29,127.64635,40.0,12.75,2003-08-20,12775.0,127.64635,40.0,12.75,2003-08-20,12775.0
10,Delhi,1,E,ITBP,G,OBC,6,1,1,1,1,0,0,0,101EG6,118.12458,33.25,22.0,2000-02-10,124.92206,37.75,22.0,2000-12-11,15326.0,124.92206,37.75,22.0,2000-12-11,15326.0
10,Delhi,1,E,ITBP,G,UR,9,2,2,2,2,0,0,0,101EG9,119.93285,35.75,17.75,2004-07-29,128.65221,33.25,19.75,2006-08-21,11783.0,128.65221,33.25,19.75,2006-08-21,11783.0
10,Delhi,1,F,AR,G,UR,9,1,1,1,1,0,0,0,101FG9,119.93285,35.75,17.75,2004-07-29,124.53151,38.0,13.0,2003-12-05,15692.0,124.53151,38.0,13.0,2003-12-05,15692.0
10,Delhi,2,A,BSF,G,EWS,0,9,9,9,9,0,0,0,102AG0,80.18321,15.75,20.0,2003-03-25,93.21633,28.75,8.5,2006-01-08,42143.0,93.21633,28.75,8.5,2006-01-08,42143.0
10,Delhi,2,A,BSF,G,SC,1,14,14,14,14,0,0,0,102AG1,107.10944,33.25,16.0,1998-03-15,113.78488,33.25,15.25,2004-01-08,23722.0,113.78488,33.25,15.25,2004-01-08,23722.0
10,Delhi,2,A,BSF,G,ST,2,7,7,7,7,0,0,0,102AG2,96.49585,31.5,15.5,1999-10-05,105.78215,29.0,13.75,2003-04-15,30021.0,105.78215,29.0,13.75,2003-04-15,30021.0
10,Delhi,2,A,BSF,G,ESM,3,9,9,9,0,9,0,0,102AG3,43.89705,13.25,13.5,1979-12-30,,,,,,,,,,
10,Delhi,2,A,BSF,G,OBC,6,25,25,25,25,0,0,0,102AG6,100.05483,33.25,3.5,2004-11-08,114.31045,35.75,11.75,2001-07-14,23398.0,114.31045,35.75,11.75,2001-07-14,23398.0
10,Delhi,2,A,BSF,G,UR,9,38,38,38,38,0,0,0,102AG9,108.238,35.5,17.5,2004-07-30,116.89074,35.5,22.0,2004-01-12,21648.0,116.89074,35.5,22.0,2004-01-12,21648.0
10,Delhi,2,B,CISF,G,EWS,0,10,10,10,10,0,0,0,102BG0,80.18321,15.75,20.0,2003-03-25,119.27798,35.5,19.75,2003-01-15,19967.0,119.27798,35.5,19.75,2003-01-15,19967.0
10,Delhi,2,B,CISF,G,SC,1,15,15,15,15,0,0,0,102BG1,107.10944,33.25,16.0,1998-03-15,126.38833,38.0,18.75,2005-10-23,14171.0,126.38833,38.0,18.75,2005-10-23,14171.0
10,Delhi,2,B,CISF,G,ST,2,8,8,8,8,0,0,0,102BG2,96.49585,31.5,15.5,1999-10-05,117.74189,28.75,17.5,1999-07-10,21073.0,117.74189,28.75,17.5,1999-07-10,21073.0
10,Delhi,2,B,CISF,G,ESM,3,10,10,10,4,6,0,0,102BG3,43.89705,13.25,13.5,1979-12-30,43.89705,13.25,13.5,1979-12-30,72807.0,43.89705,13.25,13.5,1979-12-30,72807.0
10,Delhi,2,B,CISF,G,OBC,6,28,28,27,27,0,1,1,102BG6,100.05483,33.25,3.5,2004-11-08,125.48863,35.75,29.0,2003-06-10,14875.0,125.48863,35.75,29.0,2003-06-10,14875.0
10,Delhi,2,B,CISF,G,UR,9,41,41,38,38,0,3,3,102BG9,108.238,35.5,17.5,2004-07-30,130.50191,40.0,22.75,2002-09-21,9605.0,130.50191,40.0,22.75,2002-09-21,9605.0
10,Delhi,2,C,CRPF,G,EWS,0,10,10,10,10,0,0,0,102CG0,80.18321,15.75,20.0,2003-03-25,103.9476,33.5,8.5,2005-10-21,31689.0,103.9476,33.5,8.5,2005-10-21,31689.0
10,Delhi,2,C,CRPF,G,SC,1,14,14,14,14,0,0,0,102CG1,107.10944,33.25,16.0,1998-03-15,116.30809,37.75,13.0,2005-03-14,21994.0,116.30809,37.75,13.0,2005-03-14,21994.0
10,Delhi,2,C,CRPF,G,ST,2,7,7,7,7,0,0,0,102CG2,96.49585,31.5,15.5,1999-10-05,106.94841,35.5,17.5,2002-08-03,29069.0,106.94841,35.5,17.5,2002-08-03,29069.0
10,Delhi,2,C,CRPF,G,ESM,3,10,10,10,0,10,0,0,102CG3,43.89705,13.25,13.5,1979-12-30,,,,,,,,,,
10,Delhi,2,C,CRPF,G,OBC,6,26,26,26,26,0,0,0,102CG6,100.05483,33.25,3.5,2004-11-08,119.15835,35.5,16.75,2003-05-26,20096.0,119.15835,35.5,16.75,2003-05-26,20096.0
10,Delhi,2,C,CRPF,G,UR,9,38,38,38,38,0,0,0,102CG9,108.238,35.5,17.5,2004-07-30,121.35057,37.75,19.75,2002-11-15,18435.0,121.35057,37.75,19.75,2002-11-15,18435.0
10,Delhi,2,D,SSB,G,EWS,0,1,1,1,1,0,0,0,102DG0,80.18321,15.75,20.0,2003-03-25,119.5227,33.25,15.0,2002-11-30,19779.0,119.5227,33.25,15.0,2002-11-30,19779.0
10,Delhi,2,D,SSB,G,SC,1,1,1,1,1,0,0,0,102DG1,107.10944,33.25,16.0,1998-03-15,129.93964,37.75,20.0,2000-09-19,10205.0,129.93964,37.75,20.0,2000-09-19,10205.0
10,Delhi,2,D,SSB,G,ESM,3,1,1,1,0,1,0,0,102DG3,43.89705,13.25,13.5,1979-12-30,,,,,,,,,,
10,Delhi,2,D,SSB,G,OBC,6,2,2,2,2,0,0,0,102DG6,100.05483,33.25,3.5,2004-11-08,128.5539,40.0,15.25,2002-06-06,11863.0,128.5539,40.0,15.25,2002-06-06,11863.0
10,Delhi,2,D,SSB,G,UR,9,2,2,2,2,0,0,0,102DG9,108.238,35.5,17.5,2004-07-30,128.66013,38.0,28.75,2004-05-02,11732.0,128.66013,38.0,28.75,2004-05-02,11732.0
10,Delhi,2,E,ITBP,G,EWS,0,2,2,2,2,0,0,0,102EG0,80.18321,15.75,20.0,2003-03-25,115.31558,35.75,13.5,2002-09-27,22653.0,115.31558,35.75,13.5,2002-09-27,22653.0
10,Delhi,2,E,ITBP,G,SC,1,3,3,3,3,0,0,0,102EG1,107.10944,33.25,16.0,1998-03-15,122.79717,37.75,24.25,2000-02-18,17075.0,122.79717,37.75,24.25,2000-02-18,17075.0
10,Delhi,2,E,ITBP,G,ST,2,1,1,1,1,0,0,0,102EG2,96.49585,31.5,15.5,1999-10-05,123.62534,29.5,28.75,2002-06-15,16598.0,123.62534,29.5,28.75,2002-06-15,16598.0
10,Delhi,2,E,ITBP,G,ESM,3,2,2,2,0,2,0,0,102EG3,43.89705,13.25,13.5,1979-12-30,,,,,,,,,,
10,Delhi,2,E,ITBP,G,OBC,6,5,5,5,5,0,0,0,102EG6,100.05483,33.25,3.5,2004-11-08,122.2161,37.75,17.5,2002-10-01,17684.0,122.2161,37.75,17.5,2002-10-01,17684.0
10,Delhi,2,E,ITBP,G,UR,9,7,7,7,7,0,0,0,102EG9,108.238,35.5,17.5,2004-07-30,124.00101,33.25,19.75,2002-03-14,16233.0,124.00101,33.25,19.75,2002-03-14,16233.0
10,Delhi,2,F,AR,G,EWS,0,1,1,1,1,0,0,0,102FG0,80.18321,15.75,20.0,2003-03-25,103.94237,27.25,16.25,2005-10-10,31698.0,103.94237,27.25,16.25,2005-10-10,31698.0
10,Delhi,2,F,AR,G,SC,1,1,1,1,1,0,0,0,102FG1,107.10944,33.25,16.0,1998-03-15,132.96764,37.75,24.5,2000-12-16,7085.0,132.96764,37.75,24.5,2000-12-16,7085.0
10,Delhi,2,F,AR,G,ST,2,1,1,1,1,0,0,0,102FG2,96.49585,31.5,15.5,1999-10-05,112.62832,40.0,13.0,2004-11-16,24599.0,112.62832,40.0,13.0,2004-11-16,24599.0
10,Delhi,2,F,AR,G,ESM,3,1,1,1,1,0,0,0,102FG3,43.89705,13.25,13.5,1979-12-30,86.11921,26.5,24.25,1988-09-14,49721.0,86.11921,26.5,24.25,1988-09-14,49721.0
10,Delhi,2,F,AR,G,OBC,6,2,2,1,1,0,1,1,102FG6,100.05483,33.25,3.5,2004-11-08,130.04562,40.0,17.25,2001-09-05,10060.0,130.04562,40.0,17.25,2001-09-05,10060.0
10,Delhi,2,F,AR,G,UR,9,3,3,3,3,0,0,0,102FG9,108.238,35.5,17.5,2004-07-30,124.90433,40.0,22.25,2002-10-21,15372.0,124.90433,40.0,22.25,2002-10-21,15372.0
11,Goa,1,A,BSF,G,UR,9,3,3,3,2,1,0,0,111AG9,55.95745,20.75,3.25,2006-05-03,55.95745,20.75,3.25,2006-05-03,70668.0,55.95745,20.75,3.25,2006-05-03,70668.0
11,Goa,1,B,CISF,G,UR,9,1,1,1,0,1,0,0,111BG9,55.95745,20.75,3.25,2006-05-03,,,,,,,,,,
11,Goa,1,E,ITBP,G,UR,9,1,1,1,1,0,0,0,111EG9,55.95745,20.75,3.25,2006-05-03,85.77429,24.25,10.75,2006-05-01,50102.0,85.77429,24.25,10.75,2006-05-01,50102.0
11,Goa,1,F,AR,G,UR,9,1,1,1,0,1,0,0,111FG9,55.95745,20.75,3.25,2006-05-03,,,,,,,,,,
11,Goa,2,A,BSF,G,EWS,0,1,1,1,0,1,0,0,112AG0,,,,,,,,,,,,,,
11,Goa,2,A,BSF,G,ST,2,2,2,2,2,0,0,0,112AG2,46.40694,7.25,6.5,2002-08-24,57.19762,18.0,10.25,2003-07-15,70376.0,57.19762,18.0,10.25,2003-07-15,70376.0
11,Goa,2,A,BSF,G,ESM,3,2,2,2,0,2,0,0,112AG3,,,,,,,,,,,,,,
11,Goa,2,A,BSF,G,OBC,6,5,5,5,2,3,0,0,112AG6,47.13666,27.0,2.0,2003-01-30,47.13666,27.0,2.0,2003-01-30,72339.0,47.13666,27.0,2.0,2003-01-30,72339.0
11,Goa,2,A,BSF,G,UR,9,10,10,10,4,6,0,0,112AG9,50.81467,13.0,6.25,2003-04-25,66.23001,17.5,6.25,2002-11-06,66789.0,66.23001,17.5,6.25,2002-11-06,66789.0
11,Goa,2,B,CISF,G,EWS,0,1,1,1,0,1,0,0,112BG0,,,,,,,,,,,,,,
11,Goa,2,B,CISF,G,ST,2,2,2,2,0,2,0,0,112BG2,46.40694,7.25,6.5,2002-08-24,,,,,,,,,,
11,Goa,2,B,CISF,G,ESM,3,1,1,1,0,1,0,0,112BG3,,,,,,,,,,,,,,
11,Goa,2,B,CISF,G,OBC,6,3,3,3,1,2,0,0,112BG6,47.13666,27.0,2.0,2003-01-30,53.6119,33.5,3.5,2002-11-04,71123.0,53.6119,33.5,3.5,2002-11-04,71123.0
11,Goa,2,B,CISF,G,UR,9,7,7,7,7,0,0,0,112BG9,50.81467,13.0,6.25,2003-04-25,60.75077,10.75,13.0,2004-04-03,69387.0,60.75077,10.75,13.0,2004-04-03,69387.0
11,Goa,2,C,CRPF,G,EWS,0,1,1,1,0,1,0,0,112CG0,,,,,,,,,,,,,,
11,Goa,2,C,CRPF,G,ESM,3,1,1,1,0,1,0,0,112CG3,,,,,,,,,,,,,,
11,Goa,2,C,CRPF,G,OBC,6,2,2,2,0,2,0,0,112CG6,47.13666,27.0,2.0,2003-01-30,,,,,,,,,,
11,Goa,2,C,CRPF,G,UR,9,10,10,10,1,9,0,0,112CG9,50.81467,13.0,6.25,2003-04-25,75.65844,35.5,5.0,2002-04-08,59888.0,75.65844,35.5,5.0,2002-04-08,59888.0
11,Goa,2,D,SSB,G,ST,2,1,1,1,0,1,0,0,112DG2,46.40694,7.25,6.5,2002-08-24,,,,,,,,,,
11,Goa,2,D,SSB,G,ESM,3,1,1,1,0,1,0,0,112DG3,,,,,,,,,,,,,,
11,Goa,2,D,SSB,G,OBC,6,2,2,2,0,2,0,0,112DG6,47.13666,27.0,2.0,2003-01-30,,,,,,,,,,
11,Goa,2,D,SSB,G,UR,9,8,8,8,3,5,0,0,112DG9,50.81467,13.0,6.25,2003-04-25,70.93604,33.25,8.5,2002-08-22,63575.0,70.93604,33.25,8.5,2002-08-22,63575.0
11,Goa,2,E,ITBP,G,EWS,0,1,1,1,0,1,0,0,112EG0,,,,,,,,,,,,,,
11,Goa,2,E,ITBP,G,ESM,3,1,1,1,0,1,0,0,112EG3,,,,,,,,,,,,,,
11,Goa,2,E,ITBP,G,OBC,6,1,1,1,0,1,0,0,112EG6,47.13666,27.0,2.0,2003-01-30,,,,,,,,,,
11,Goa,2,E,ITBP,G,UR,9,3,3,3,1,2,0,0,112EG9,50.81467,13.0,6.25,2003-04-25,61.15847,19.75,10.75,2002-08-15,69238.0,61.15847,19.75,10.75,2002-08-15,69238.0
11,Goa,2,F,AR,G,UR,9,1,1,1,1,0,0,0,112FG9,50.81467,13.0,6.25,2003-04-25,64.52698,35.5,-2.75,2002-06-08,67741.0,64.52698,35.5,-2.75,2002-06-08,67741.0
12,Gujarat,1,A,BSF,B,EWS,0,4,4,4,4,0,0,0,121AB0,71.00156,22.5,9.0,2004-11-13,79.5701,29.75,6.75,2003-08-28,56378.0,79.5701,29.75,6.75,2003-08-28,56378.0
12,Gujarat,1,A,BSF,B,SC,1,3,3,3,3,0,0,0,121AB1,80.83649,22.25,6.25,2004-06-01,86.05804,26.5,22.25,2000-11-13,49759.0,86.05804,26.5,22.25,2000-11-13,49759.0
12,Gujarat,1,A,BSF,B,ST,2,7,7,7,7,0,0,0,121AB2,65.06736,23.0,7.25,1997-04-02,77.51483,29.0,8.5,2002-01-12,58346.0,77.51483,29.0,8.5,2002-01-12,58346.0
12,Gujarat,1,A,BSF,B,ESM,3,4,4,4,0,4,0,0,121AB3,,,,,,,,,,,,,,
12,Gujarat,1,A,BSF,B,OBC,6,12,12,12,12,0,0,0,121AB6,75.3856,33.25,6.25,2003-10-27,83.93008,26.5,15.25,2002-12-01,52063.0,83.93008,26.5,15.25,2002-12-01,52063.0
12,Gujarat,1,A,BSF,B,UR,9,18,18,18,18,0,0,0,121AB9,81.18571,35.75,6.25,2002-03-04,86.81049,33.25,1.25,2004-01-21,48921.0,86.81049,33.25,1.25,2004-01-21,48921.0
12,Gujarat,1,A,BSF,G,EWS,0,6,6,6,6,0,0,0,121AG0,68.83919,31.0,0.0,2005-08-16,83.67118,35.75,12.0,2005-06-27,52338.0,83.67118,35.75,12.0,2005-06-27,52338.0
12,Gujarat,1,A,BSF,G,SC,1,4,4,4,4,0,0,0,121AG1,82.59322,26.75,17.5,2001-06-09,95.47833,26.5,26.5,2001-10-08,39817.0,95.47833,26.5,26.5,2001-10-08,39817.0
12,Gujarat,1,A,BSF,G,ST,2,9,9,9,9,0,0,0,121AG2,79.35317,26.5,8.5,2000-06-20,85.07448,33.5,19.75,1999-02-28,50864.0,85.07448,33.5,19.75,1999-02-28,50864.0
12,Gujarat,1,A,BSF,G,ESM,3,6,6,6,0,6,0,0,121AG3,,,,,,,,,,,,,,
12,Gujarat,1,A,BSF,G,OBC,6,16,16,16,16,0,0,0,121AG6,83.51036,28.75,15.25,2000-08-11,89.03516,26.5,15.25,2000-11-30,46550.0,89.03516,26.5,15.25,2000-11-30,46550.0
12,Gujarat,1,A,BSF,G,UR,9,24,24,24,24,0,0,0,121AG9,86.54484,29.5,7.75,2002-12-20,92.23769,35.5,14.0,2002-07-28,43165.0,92.23769,35.5,14.0,2002-07-28,43165.0
12,Gujarat,1,B,CISF,B,EWS,0,2,2,2,2,0,0,0,121BB0,71.00156,22.5,9.0,2004-11-13,88.8553,33.25,13.75,2006-08-25,46745.0,88.8553,33.25,13.75,2006-08-25,46745.0
12,Gujarat,1,B,CISF,B,SC,1,1,1,1,1,0,0,0,121BB1,80.83649,22.25,6.25,2004-06-01,110.48976,36.0,19.25,2000-11-21,26121.0,110.48976,36.0,19.25,2000-11-21,26121.0
12,Gujarat,1,B,CISF,B,ST,2,3,3,3,3,0,0,0,121BB2,65.06736,23.0,7.25,1997-04-02,83.09248,29.0,9.5,2000-03-04,52976.0,83.09248,29.0,9.5,2000-03-04,52976.0
12,Gujarat,1,B,CISF,B,ESM,3,2,2,2,0,2,0,0,121BB3,,,,,,,,,,,,,,
12,Gujarat,1,B,CISF,B,OBC,6,5,5,5,5,0,0,0,121BB6,75.3856,33.25,6.25,2003-10-27,92.21783,27.25,13.5,2000-06-05,43197.0,92.21783,27.25,13.5,2000-06-05,43197.0
12,Gujarat,1,B,CISF,B,UR,9,8,8,8,8,0,0,0,121BB9,81.18571,35.75,6.25,2002-03-04,100.48662,38.0,16.0,2006-12-05,34979.0,100.48662,38.0,16.0,2006-12-05,34979.0
12,Gujarat,1,B,CISF,G,EWS,0,4,4,4,4,0,0,0,121BG0,68.83919,31.0,0.0,2005-08-16,88.40413,29.5,7.0,2002-08-10,47217.0,88.40413,29.5,7.0,2002-08-10,47217.0
12,Gujarat,1,B,CISF,G,SC,1,3,3,3,3,0,0,0,121BG1,82.59322,26.75,17.5,2001-06-09,97.73815,31.0,26.5,2004-10-09,37535.0,97.73815,31.0,26.5,2004-10-09,37535.0
12,Gujarat,1,B,CISF,G,ST,2,6,6,6,6,0,0,0,121BG2,79.35317,26.5,8.5,2000-06-20,91.91698,36.0,13.5,2000-01-04,43506.0,91.91698,36.0,13.5,2000-01-04,43506.0
12,Gujarat,1,B,CISF,G,ESM,3,4,4,4,0,4,0,0,121BG3,,,,,,,,,,,,,,
12,Gujarat,1,B,CISF,G,OBC,6,11,11,11,11,0,0,0,121BG6,83.51036,28.75,15.25,2000-08-11,99.56339,35.75,12.25,2000-05-01,35739.0,99.56339,35.75,12.25,2000-05-01,35739.0
12,Gujarat,1,B,CISF,G,UR,9,17,17,17,17,0,0,0,121BG9,86.54484,29.5,7.75,2002-12-20,106.7874,31.0,17.5,2004-09-24,29182.0,106.7874,31.0,17.5,2004-09-24,29182.0
12,Gujarat,1,C,CRPF,B,EWS,0,1,1,1,1,0,0,0,121CB0,71.00156,22.5,9.0,2004-11-13,79.98122,28.75,13.0,2004-12-16,55931.0,79.98122,28.75,13.0,2004-12-16,55931.0
12,Gujarat,1,C,CRPF,B,ST,2,1,1,1,1,0,0,0,121CB2,65.06736,23.0,7.25,1997-04-02,75.38569,23.0,8.75,2001-12-10,60085.0,75.38569,23.0,8.75,2001-12-10,60085.0
12,Gujarat,1,C,CRPF,B,ESM,3,1,1,1,0,1,0,0,121CB3,,,,,,,,,,,,,,
12,Gujarat,1,C,CRPF,B,OBC,6,2,2,2,2,0,0,0,121CB6,75.3856,33.25,6.25,2003-10-27,93.09644,37.75,10.75,2005-04-25,42259.0,93.09644,37.75,10.75,2005-04-25,42259.0
12,Gujarat,1,C,CRPF,B,UR,9,2,2,2,2,0,0,0,121CB9,81.18571,35.75,6.25,2002-03-04,102.73642,31.5,4.0,2004-11-20,32899.0,102.73642,31.5,4.0,2004-11-20,32899.0
12,Gujarat,1,C,CRPF,G,EWS,0,1,1,1,1,0,0,0,121CG0,68.83919,31.0,0.0,2005-08-16,98.45902,33.25,13.0,2005-07-08,36852.0,98.45902,33.25,13.0,2005-07-08,36852.0
12,Gujarat,1,C,CRPF,G,SC,1,1,1,1,1,0,0,0,121CG1,82.59322,26.75,17.5,2001-06-09,98.04576,35.5,17.5,2002-10-17,37266.0,98.04576,35.5,17.5,2002-10-17,37266.0
12,Gujarat,1,C,CRPF,G,ST,2,2,2,2,2,0,0,0,121CG2,79.35317,26.5,8.5,2000-06-20,86.13191,35.75,10.75,2003-08-18,49707.0,86.13191,35.75,10.75,2003-08-18,49707.0
12,Gujarat,1,C,CRPF,G,ESM,3,1,1,1,0,1,0,0,121CG3,,,,,,,,,,,,,,
12,Gujarat,1,C,CRPF,G,OBC,6,4,4,4,4,0,0,0,121CG6,83.51036,28.75,15.25,2000-08-11,96.47187,35.75,10.5,1999-05-02,38777.0,96.47187,35.75,10.5,1999-05-02,38777.0
12,Gujarat,1,C,CRPF,G,UR,9,6,6,6,6,0,0,0,121CG9,86.54484,29.5,7.75,2002-12-20,100.18568,33.5,16.25,2005-03-30,35205.0,100.18568,33.5,16.25,2005-03-30,35205.0
12,Gujarat,1,E,ITBP,G,EWS,0,1,1,1,1,0,0,0,121EG0,68.83919,31.0,0.0,2005-08-16,88.18337,31.25,10.75,2003-12-23,47459.0,88.18337,31.25,10.75,2003-12-23,47459.0
12,Gujarat,1,E,ITBP,G,SC,1,1,1,1,1,0,0,0,121EG1,82.59322,26.75,17.5,2001-06-09,97.72184,31.0,13.75,2001-07-15,37544.0,97.72184,31.0,13.75,2001-07-15,37544.0
12,Gujarat,1,E,ITBP,G,ST,2,2,2,2,2,0,0,0,121EG2,79.35317,26.5,8.5,2000-06-20,84.90606,33.25,15.25,2000-05-03,51063.0,84.90606,33.25,15.25,2000-05-03,51063.0
12,Gujarat,1,E,ITBP,G,ESM,3,1,1,1,0,1,0,0,121EG3,,,,,,,,,,,,,,
12,Gujarat,1,E,ITBP,G,OBC,6,3,3,3,3,0,0,0,121EG6,83.51036,28.75,15.25,2000-08-11,94.71948,35.5,18.0,2001-05-17,40566.0,94.71948,35.5,18.0,2001-05-17,40566.0
12,Gujarat,1,E,ITBP,G,UR,9,5,5,5,5,0,0,0,121EG9,86.54484,29.5,7.75,2002-12-20,96.72448,35.5,17.5,2002-05-10,38552.0,96.72448,35.5,17.5,2002-05-10,38552.0
12,Gujarat,1,F,AR,G,ST,2,1,1,1,1,0,0,0,121FG2,79.35317,26.5,8.5,2000-06-20,85.12542,24.25,24.25,1997-03-02,50818.0,85.12542,24.25,24.25,1997-03-02,50818.0
12,Gujarat,1,F,AR,G,OBC,6,1,1,1,1,0,0,0,121FG6,83.51036,28.75,15.25,2000-08-11,101.04314,29.0,8.5,2003-10-07,34311.0,101.04314,29.0,8.5,2003-10-07,34311.0
12,Gujarat,1,F,AR,G,UR,9,1,1,1,1,0,0,0,121FG9,86.54484,29.5,7.75,2002-12-20,104.81053,34.0,8.5,2006-03-28,30986.0,104.81053,34.0,8.5,2006-03-28,30986.0
12,Gujarat,2,A,BSF,B,EWS,0,25,25,25,25,0,0,0,122AB0,59.28931,17.5,10.75,2005-11-13,77.48903,17.5,17.5,2002-01-17,58383.0,77.48903,17.5,17.5,2002-01-17,58383.0
12,Gujarat,2,A,BSF,B,SC,1,17,17,17,17,0,0,0,122AB1,68.58376,22.0,8.5,1999-06-01,79.60401,26.75,12.0,2000-06-01,56361.0,79.60401,26.75,12.0,2000-06-01,56361.0
12,Gujarat,2,A,BSF,B,ST,2,37,37,37,37,0,0,0,122AB2,62.36073,19.0,7.75,2005-05-15,69.1557,20.75,13.75,2002-01-11,64852.0,69.1557,20.75,13.75,2002-01-11,64852.0
12,Gujarat,2,A,BSF,B,ESM,3,25,25,25,0,25,0,0,122AB3,,,,,,,,,,,,,,
12,Gujarat,2,A,BSF,B,OBC,6,66,66,66,66,0,0,0,122AB6,65.36002,15.25,19.75,2004-06-20,81.69278,17.5,13.0,2001-12-30,54355.0,81.69278,17.5,13.0,2001-12-30,54355.0
12,Gujarat,2,A,BSF,B,UR,9,101,101,101,101,0,0,0,122AB9,71.48718,24.75,18.75,2004-03-02,84.92642,29.25,19.75,2002-06-01,51045.0,84.92642,29.25,19.75,2002-06-01,51045.0
12,Gujarat,2,A,BSF,G,EWS,0,33,33,33,33,0,0,0,122AG0,67.61346,19.0,17.0,2002-12-15,77.98633,26.75,10.75,2006-01-30,57945.0,77.98633,26.75,10.75,2006-01-30,57945.0
